Student_ID,Attendance,Quiz_Score,Assignment_Score,Understanding_Level
S1059,64.05,86.65,75.07,Good
S1060,63.12,52.3,68.7,Average
S1061,61.13,88.91,61.19,Average
S1062,85.46,98.98,77.87,Excellent
S1063,54.24,54.42,94.47,Average
S1064,87.08,91.11,79.7,Excellent
S1065,84.67,68.93,95.98,Good
S1066,62.54,57.21,67.85,Average
S1067,62.64,74.66,84.76,Good
S1068,81.44,53.58,82.43,Good
S1069,88.11,76.11,83.52,Good
S1070,93.82,50.97,82.25,Good
S1071,92.61,86.43,61.08,Good
S1072,98.24,74.4,57.18,Good
S1073,79.07,72.95,98.93,Good
S1074,95.43,59.81,52.26,Good
S1075,90.43,68.06,73.39,Good
S1076,94.73,59.09,71.25,Good
S1077,50.58,86.77,68.0,Average
S1078,98.3,59.95,89.1,Good
S1079,73.68,80.84,87.27,Good
S1080,89.91,63.98,95.26,Good
S1081,56.36,82.85,69.77,Average
S1082,69.8,77.02,78.21,Good
S1083,63.57,71.17,94.62,Good
S1084,64.58,83.65,99.69,Good
S1085,56.16,70.79,98.46,Good
S1086,90.29,91.07,85.89,Excellent
S1087,50.46,86.48,57.16,Average
S1088,65.63,77.03,51.16,Average
S1089,58.72,93.85,91.26,Good
S1090,79.45,91.44,92.05,Excellent
S1091,62.71,76.59,87.32,Good
S1092,62.95,53.42,64.0,Average
S1093,74.42,78.3,81.99,Good
S1094,82.63,67.76,65.81,Good
S1095,56.07,77.01,72.53,Average
S1096,58.78,82.36,69.12,Average
S1097,62.36,82.24,95.68,Good
S1098,98.69,83.68,61.71,Good
S1099,69.86,83.96,78.88,Good
S1100,79.95,55.46,68.05,Average
S1101,62.08,59.59,83.15,Average
S1102,74.52,81.53,78.23,Good
S1103,53.71,70.41,96.2,Good
S1104,51.74,88.14,55.08,Average
S1105,73.44,56.25,61.03,Average
S1106,69.93,59.58,88.32,Good
S1107,56.84,77.92,68.44,Average
S1108,84.38,75.04,58.29,Good
S1109,99.65,63.32,75.17,Good
S1110,69.78,70.42,82.61,Good
S1111,81.23,51.75,52.24,Average
S1112,98.15,51.85,64.58,Good
S1113,91.58,54.75,90.47,Good
S1114,73.18,78.84,76.01,Good
S1115,86.87,93.19,51.77,Good
S1116,56.41,63.01,64.1,Average
S1117,75.61,51.7,81.96,Good
S1118,63.95,85.43,59.97,Average
S1119,58.06,92.77,91.37,Good
S1120,71.31,56.91,83.83,Good
S1121,56.55,69.29,73.57,Average
S1122,84.95,57.94,95.78,Good
S1123,72.81,55.32,69.59,Average
S1124,76.56,82.41,61.75,Good
S1125,57.32,98.38,83.07,Good
S1126,56.99,83.91,78.66,Good
S1127,79.17,99.24,66.76,Good
S1128,99.25,71.72,67.18,Good
S1129,54.81,94.89,69.91,Good
S1130,64.29,60.25,64.56,Average
S1131,93.47,55.9,85.51,Good
S1132,53.61,85.13,82.57,Good
S1133,93.79,68.57,72.04,Good
S1134,76.21,65.88,69.89,Good
S1135,70.41,83.56,68.25,Good
S1136,65.48,66.67,64.17,Average
S1137,64.86,78.63,54.28,Average
S1138,65.29,64.97,63.41,Average
S1139,94.24,89.19,66.06,Good
S1140,86.19,65.62,77.38,Good
S1141,83.49,76.75,88.69,Good
S1142,89.94,51.16,69.79,Good
S1143,62.86,89.59,97.24,Good
S1144,80.9,81.02,91.37,Good
S1145,73.0,59.61,99.24,Good
S1146,89.12,60.77,93.81,Good
S1147,65.46,63.12,80.84,Average
S1148,82.16,78.83,79.92,Good
S1149,94.11,77.42,56.48,Good
S1150,70.11,63.69,86.12,Good
S1151,53.33,84.7,80.01,Good
S1152,75.8,94.45,75.35,Good
S1153,67.3,52.18,84.66,Average
S1154,83.61,70.86,72.2,Good
S1155,97.55,79.68,76.19,Excellent
S1156,74.28,79.32,69.92,Good
S1157,73.31,50.98,85.87,Good
S1158,82.73,60.53,93.83,Good
S1159,55.17,53.09,92.04,Average
S1160,62.68,78.45,89.3,Good
S1161,95.95,82.27,50.69,Good
S1162,83.5,57.99,95.59,Good
S1163,50.67,66.65,63.74,Poor
S1164,60.23,66.49,94.4,Good
S1165,84.14,90.99,59.85,Good
S1166,88.22,59.73,71.98,Good
S1167,91.99,77.42,87.47,Excellent
S1168,64.61,89.15,82.01,Good
S1169,96.55,91.48,70.8,Excellent
S1170,77.65,83.33,83.93,Good
S1171,84.83,64.98,77.45,Good
S1172,79.84,91.15,63.79,Good
S1173,56.14,87.11,82.32,Good
S1174,98.16,85.22,60.21,Good
S1175,56.14,53.37,84.7,Average
S1176,62.74,52.16,50.16,Poor
S1177,90.68,84.77,77.44,Good
S1178,80.93,97.24,70.05,Good
S1179,91.91,88.69,65.16,Good
S1180,75.79,91.57,75.79,Good
S1181,68.85,77.25,82.27,Good
S1182,96.09,65.23,98.27,Excellent
S1183,51.81,83.89,91.65,Good
S1184,92.81,85.6,85.86,Excellent
S1185,61.54,83.77,73.95,Good
S1186,92.44,97.34,69.61,Excellent
S1187,56.96,68.36,51.63,Poor
S1188,79.01,51.98,67.95,Average
S1189,94.41,95.42,92.42,Excellent
S1190,73.68,58.02,69.2,Average
S1191,87.33,84.87,73.08,Good
S1192,90.23,93.66,63.59,Good
S1193,86.82,65.51,63.71,Good
S1194,96.27,91.52,53.09,Good
S1195,72.34,66.6,80.69,Good
S1196,58.66,89.71,72.4,Good
S1197,52.39,53.49,80.3,Average
S1198,62.32,82.76,77.34,Good
S1199,57.16,83.86,89.94,Good
S1200,77.9,74.57,87.55,Good
S1201,59.25,84.35,88.57,Good
S1202,51.95,96.16,74.96,Good
S1203,51.8,86.69,67.69,Average
S1204,91.58,98.06,96.67,Excellent
S1205,79.57,72.43,52.71,Average
S1206,67.9,76.41,57.63,Average
S1207,94.71,63.19,70.98,Good
S1208,53.51,99.28,80.7,Good
S1209,99.02,52.76,50.41,Good
S1210,80.81,67.93,85.97,Good
S1211,59.17,64.88,77.94,Average
S1212,83.95,69.33,74.24,Good
S1213,88.17,95.89,71.17,Excellent
S1214,71.47,68.4,75.97,Good
S1215,93.08,95.85,58.09,Good
S1216,57.54,71.17,55.44,Average
S1217,63.94,92.74,64.48,Good
S1218,54.67,76.09,85.48,Good
S1219,60.54,65.57,79.41,Average
S1220,61.94,72.47,74.01,Average
S1221,95.88,71.22,78.58,Good
S1222,53.91,63.0,77.96,Average
S1223,71.37,64.48,65.35,Average
S1224,76.62,59.32,54.87,Average
S1225,94.93,66.8,94.84,Excellent
S1226,99.88,81.22,80.0,Excellent
S1227,87.67,69.33,84.89,Good
S1228,98.54,85.62,73.2,Excellent
S1229,89.36,99.35,87.82,Excellent
S1230,98.16,68.86,79.22,Good
S1231,85.36,73.13,52.69,Good
S1232,53.99,58.21,94.5,Average
S1233,70.1,69.61,65.28,Average
S1234,82.33,86.34,56.89,Good
S1235,67.54,60.87,54.4,Average
S1236,63.67,59.1,86.02,Average
S1237,78.87,68.82,85.2,Good
S1238,96.68,90.93,85.01,Excellent
S1239,51.75,81.18,95.79,Good
S1240,88.46,97.88,67.45,Good
S1241,86.14,95.23,78.06,Excellent
S1242,98.2,57.56,80.97,Good
S1243,96.54,52.13,98.97,Good
S1244,88.11,69.95,65.62,Good
S1245,76.02,76.1,97.82,Good
S1246,60.21,75.78,57.44,Average
S1247,77.26,56.71,88.2,Good
S1248,88.27,56.24,81.64,Good
S1249,94.78,52.34,90.84,Good
S1250,89.49,92.54,51.43,Good
S1251,59.76,97.39,53.91,Average
S1252,79.98,55.78,53.48,Average
S1253,66.61,60.66,79.65,Average
S1254,50.46,54.49,80.15,Average
S1255,60.01,93.88,95.31,Good
S1256,55.66,97.94,73.38,Good
S1257,92.14,63.09,53.4,Good
S1258,62.93,65.18,60.48,Average
S1259,64.23,68.13,50.4,Average
S1260,98.0,75.12,88.84,Excellent
S1261,68.95,84.12,90.78,Good
S1262,50.48,75.22,99.9,Good
S1263,64.19,97.55,70.61,Good
S1264,55.96,54.99,50.96,Poor
S1265,55.14,89.93,61.74,Average
S1266,53.87,66.72,79.39,Average
S1267,79.66,68.88,98.1,Good
S1268,59.47,85.44,55.18,Average
S1269,68.06,96.47,56.08,Good
S1270,93.1,85.81,85.09,Excellent
S1271,71.22,88.79,83.36,Good
S1272,95.78,87.54,62.53,Good
S1273,74.9,66.05,90.66,Good
S1274,69.94,87.85,56.44,Good
S1275,87.52,89.23,96.29,Excellent
S1276,53.66,76.67,60.05,Average
S1277,54.47,76.84,54.07,Average
S1278,82.6,87.99,66.98,Good
S1279,74.35,90.85,59.39,Good
S1280,89.52,66.86,76.35,Good
S1281,95.81,90.08,84.34,Excellent
S1282,69.42,90.71,74.55,Good
S1283,79.82,61.71,83.03,Good
S1284,75.03,85.85,68.25,Good
S1285,99.08,59.33,51.4,Good
S1286,91.55,54.65,98.7,Good
S1287,95.59,78.73,90.97,Excellent
S1288,62.72,95.43,53.67,Average
S1289,88.63,51.77,72.46,Good
S1290,63.27,91.33,81.75,Good
S1291,60.44,75.32,59.53,Average
S1292,97.21,93.04,78.9,Excellent
S1293,50.97,92.17,76.68,Good
S1294,98.27,93.76,60.41,Excellent
S1295,57.46,88.44,57.06,Average
S1296,90.97,92.15,87.95,Excellent
S1297,63.8,58.8,66.13,Average
S1298,67.54,65.19,62.2,Average
S1299,60.84,62.12,86.89,Average
S1300,79.28,87.12,86.8,Good
S1301,67.4,57.68,63.82,Average
S1302,82.87,59.11,93.63,Good
S1303,50.78,93.95,84.41,Good
S1304,53.22,85.29,67.29,Average
S1305,54.98,93.77,71.37,Good
S1306,70.95,56.97,86.34,Good
S1307,90.74,69.95,60.58,Good
S1308,94.41,64.16,73.44,Good
S1309,62.24,50.48,82.68,Average
S1310,78.72,64.23,76.97,Good
S1311,88.42,68.98,80.42,Good
S1312,64.44,54.61,77.31,Average
S1313,70.45,78.32,59.96,Average
S1314,76.2,69.16,70.51,Good
S1315,56.74,52.32,76.6,Average
S1316,51.3,85.2,89.0,Good
S1317,57.64,86.46,82.7,Good
S1318,81.34,91.72,71.33,Good
S1319,53.68,74.28,98.72,Good
S1320,59.48,98.43,55.39,Average
S1321,66.89,95.7,60.34,Good
S1322,53.89,77.57,67.07,Average
S1323,59.58,72.25,61.43,Average
S1324,95.56,50.15,81.27,Good
S1325,50.96,85.55,51.98,Average
S1326,82.67,78.25,58.87,Good
S1327,69.22,96.88,64.67,Good
S1328,83.63,79.71,84.17,Good
S1329,79.43,99.64,93.79,Excellent
S1330,61.17,92.69,89.92,Good
S1331,92.36,97.68,59.1,Good
S1332,74.6,66.38,78.27,Good
S1333,91.13,57.47,51.5,Average
S1334,70.3,89.84,65.53,Good
S1335,99.23,89.31,90.3,Excellent
S1336,88.52,60.57,72.83,Good
S1337,98.3,88.24,57.5,Good
S1338,75.72,79.1,71.93,Good
S1339,73.68,55.48,59.9,Average
S1340,87.77,75.09,69.66,Good
S1341,94.01,96.56,74.39,Excellent
S1342,98.21,75.32,67.48,Good
S1343,66.23,89.43,96.85,Good
S1344,89.94,51.45,78.13,Good
S1345,60.53,86.4,92.14,Good
S1346,77.28,97.34,88.04,Excellent
S1347,58.99,74.98,83.06,Good
S1348,67.37,66.89,74.84,Average
S1349,96.57,82.33,50.11,Good
S1350,57.3,95.81,80.67,Good
S1351,81.62,58.84,67.8,Good
S1352,79.65,70.18,55.89,Average
S1353,56.04,57.81,72.23,Average
S1354,66.3,74.83,86.78,Good
S1355,78.15,77.02,98.08,Good
S1356,59.36,97.21,68.71,Good
S1357,90.03,70.63,77.14,Good
S1358,98.61,78.35,92.56,Excellent
S1359,60.74,94.26,66.7,Good
S1360,59.35,66.07,57.11,Average
S1361,72.75,83.71,64.09,Good
S1362,87.39,87.86,94.96,Excellent
S1363,64.08,66.53,57.97,Average
S1364,50.99,58.22,66.46,Poor
S1365,77.06,75.15,73.23,Good
S1366,97.83,67.84,92.36,Excellent
S1367,69.56,63.32,96.89,Good
S1368,71.01,98.67,71.29,Good
S1369,98.45,75.11,96.6,Excellent
S1370,84.73,92.82,58.07,Good
S1371,85.96,59.77,57.84,Average
S1372,78.14,96.97,97.46,Excellent
S1373,98.73,89.72,75.48,Excellent
S1374,84.44,90.43,59.3,Good
S1375,94.75,69.49,74.4,Good
S1376,84.97,74.28,89.16,Good
S1377,86.76,79.67,91.35,Excellent
S1378,64.52,89.49,93.2,Good
S1379,65.17,92.45,78.48,Good
S1380,89.15,53.9,93.35,Good
S1381,64.84,95.2,75.5,Good
S1382,78.14,96.87,80.35,Good
S1383,62.47,79.64,87.94,Good
S1384,90.85,59.34,71.27,Good
S1385,55.53,90.92,53.68,Average
S1386,91.47,77.43,67.51,Good
S1387,80.14,90.86,81.2,Good
S1388,59.35,90.74,59.62,Average
S1389,77.1,54.34,57.42,Average
S1390,64.12,80.35,64.65,Average
S1391,66.17,74.16,51.61,Average
S1392,67.58,97.31,87.17,Good
S1393,53.17,64.83,62.94,Poor
S1394,99.3,60.3,56.21,Good
S1395,51.58,94.85,84.96,Good
S1396,83.12,57.44,92.15,Good
S1397,68.56,84.33,50.99,Average
S1398,82.3,65.0,61.68,Good
S1399,67.81,78.39,97.26,Good
S1400,83.69,80.81,69.26,Good
S1401,86.46,70.87,96.93,Good
S1402,84.53,98.75,63.71,Good
S1403,55.7,56.59,60.9,Poor
S1404,82.84,69.57,60.71,Good
S1405,64.0,71.52,54.26,Average
S1406,51.44,81.55,94.82,Good
S1407,70.74,70.36,98.99,Good
S1408,71.68,54.85,97.73,Good
S1409,73.36,97.37,92.6,Excellent
S1410,85.24,70.8,92.34,Good
S1411,65.44,67.13,83.05,Good
S1412,65.76,72.34,91.31,Good
S1413,53.03,60.83,60.42,Poor
S1414,84.34,55.01,69.4,Good
S1415,78.39,57.43,82.04,Good
S1416,67.47,58.33,93.74,Good
S1417,85.26,59.88,83.02,Good
S1418,76.87,71.0,91.95,Good
S1419,73.46,81.19,73.7,Good
S1420,75.57,81.44,85.87,Good
S1421,81.82,50.0,99.0,Good
S1422,83.0,96.05,57.67,Good
S1423,64.45,91.14,96.35,Good
S1424,57.04,98.2,76.12,Good
S1425,57.83,68.0,82.16,Average
S1426,81.97,83.24,93.89,Excellent
S1427,93.64,58.4,70.48,Good
S1428,70.47,90.85,70.93,Good
S1429,58.48,58.07,76.36,Average
S1430,87.83,66.3,50.96,Good
S1431,91.62,74.54,74.83,Good
S1432,94.03,79.73,64.55,Good
S1433,80.34,77.98,96.4,Good
S1434,93.04,55.1,54.39,Good
S1435,50.77,71.08,72.97,Average
S1436,55.36,96.15,97.37,Good
S1437,54.63,93.62,95.05,Good
S1438,85.63,79.54,85.07,Good
S1439,53.48,78.62,79.47,Average
S1440,74.82,55.58,64.04,Average
S1441,73.64,60.01,68.35,Average
S1442,65.54,62.63,54.51,Average
S1443,93.52,74.41,89.31,Excellent
S1444,58.52,86.57,66.19,Average
S1445,67.62,73.04,83.39,Good
S1446,88.71,56.3,67.88,Good
S1447,51.52,71.97,73.22,Average
S1448,83.65,58.13,77.75,Good
S1449,90.82,87.56,90.09,Excellent
S1450,96.61,58.33,60.56,Good
S1451,93.81,74.13,69.94,Good
S1452,65.97,84.67,56.5,Average
S1453,79.32,61.41,53.79,Average
S1454,53.86,53.8,80.23,Average
S1455,62.89,78.16,59.45,Average
S1456,54.71,52.71,52.99,Poor
S1457,65.76,79.39,94.85,Good
S1458,93.76,87.67,76.72,Excellent
S1459,67.36,66.47,56.73,Average
S1460,78.09,74.42,52.67,Average
S1461,71.67,96.44,55.99,Good
S1462,72.95,73.56,73.57,Good
S1463,98.48,99.83,83.42,Excellent
S1464,64.81,57.85,82.06,Average
S1465,81.37,85.45,57.22,Good
S1466,71.0,82.63,81.67,Good
S1467,53.06,93.62,70.24,Good
S1468,74.47,54.62,73.24,Average
S1469,90.67,64.01,90.07,Good
S1470,54.94,56.61,66.62,Poor
S1471,53.48,96.65,57.35,Average
S1472,57.68,71.33,93.67,Good
S1473,88.22,95.5,60.61,Good
S1474,86.2,64.72,64.7,Good
S1475,78.25,56.32,85.33,Good
S1476,73.41,64.83,84.18,Good
S1477,94.42,79.86,90.02,Excellent
S1478,88.33,92.26,59.19,Good
S1479,90.6,69.27,67.61,Good
S1480,90.66,95.74,56.29,Good
S1481,82.14,62.21,77.05,Good
S1482,72.9,84.68,64.63,Good
S1483,93.23,86.79,84.45,Excellent
S1484,96.3,63.7,50.02,Good
S1485,51.19,51.35,52.98,Poor
S1486,52.58,68.26,71.63,Average
S1487,97.94,52.26,97.91,Good
S1488,63.86,95.04,94.54,Good
S1489,93.67,97.68,99.7,Excellent
S1490,69.44,86.77,70.84,Good
S1491,55.96,86.33,52.33,Average
S1492,54.02,62.04,65.3,Poor
S1493,57.83,53.7,83.79,Average
S1494,62.49,90.11,56.76,Average
S1495,74.43,77.96,65.0,Good
S1496,85.07,84.08,52.81,Good
S1497,99.32,88.98,73.75,Excellent
S1498,72.08,70.47,60.45,Average
S1499,75.91,57.23,54.56,Average
S1500,76.09,89.75,70.56,Good
S1501,76.97,72.69,67.56,Good
S1502,75.89,91.35,76.88,Good
S1503,50.44,71.88,87.45,Average
S1504,50.09,60.85,55.63,Poor
S1505,54.88,58.55,89.56,Average
S1506,55.08,87.2,51.31,Average
S1507,85.24,78.74,72.16,Good
S1508,60.25,70.23,79.37,Average
S1509,94.74,74.61,97.85,Excellent
S1510,96.43,77.48,78.7,Excellent
S1511,98.79,61.97,57.94,Good
S1512,96.95,68.91,75.88,Good
S1513,63.59,64.62,69.79,Average
S1514,75.49,69.42,73.97,Good
S1515,58.77,75.03,59.85,Average
S1516,90.31,58.67,75.04,Good
S1517,94.42,69.68,57.5,Good
S1518,92.56,69.27,87.2,Good
S1519,71.67,64.3,79.7,Good
S1520,87.93,99.92,53.93,Good
S1521,54.88,53.68,94.48,Average
S1522,52.01,82.15,80.82,Average
S1523,87.66,58.72,65.81,Good
S1524,71.27,91.98,52.28,Good
S1525,99.78,95.71,81.61,Excellent
S1526,54.86,70.07,68.67,Average
S1527,92.78,91.17,95.38,Excellent
S1528,74.0,62.5,51.74,Average
S1529,91.36,57.0,51.96,Average
S1530,90.86,65.79,97.46,Excellent
S1531,95.8,67.08,98.24,Excellent
S1532,64.89,69.87,51.39,Average
S1533,97.49,68.65,85.8,Excellent
S1534,57.58,70.56,61.07,Average
S1535,54.1,85.5,85.07,Good
S1536,71.58,62.28,93.44,Good
S1537,91.42,50.93,55.04,Average
S1538,73.67,74.48,61.94,Good
S1539,91.46,72.41,51.2,Good
S1540,86.48,53.0,52.19,Average
S1541,60.47,56.69,51.48,Poor
S1542,97.44,75.5,90.03,Excellent
S1543,53.04,61.74,64.91,Poor
S1544,94.91,93.88,74.66,Excellent
S1545,65.22,58.66,89.39,Good
S1546,75.01,51.01,74.75,Average
S1547,71.12,72.38,71.46,Good
S1548,58.59,99.31,50.58,Average
S1549,67.91,81.69,78.4,Good
S1550,59.65,67.7,56.24,Average
S1551,60.19,50.84,88.23,Average
S1552,59.35,74.25,62.89,Average
S1553,74.45,60.32,83.71,Good
S1554,89.9,82.39,82.31,Excellent
S1555,78.45,79.15,80.83,Good
S1556,94.66,63.26,63.35,Good
S1557,81.83,53.44,63.35,Average
S1558,84.47,87.75,93.15,Excellent
S1559,83.38,79.27,50.64,Good
S1560,72.47,92.11,59.08,Good
S1561,84.47,62.99,80.51,Good
S1562,53.49,82.64,90.85,Good
S1563,92.99,55.93,67.92,Good
S1564,88.89,64.59,82.67,Good
S1565,62.26,82.83,77.86,Good
S1566,88.4,91.28,53.23,Good
S1567,50.63,66.05,81.09,Average
S1568,60.86,89.94,90.7,Good
S1569,53.26,83.89,99.62,Good
S1570,89.01,67.43,51.48,Good
S1571,87.79,93.82,83.0,Excellent
S1572,90.68,75.46,70.73,Good
S1573,50.22,82.41,50.49,Poor
S1574,75.06,74.78,80.72,Good
S1575,85.24,72.64,56.12,Good
S1576,57.77,92.4,68.93,Good
S1577,82.49,64.74,63.07,Good
S1578,54.21,51.83,68.06,Poor
S1579,59.07,93.99,74.63,Good
S1580,73.79,91.25,67.96,Good
S1581,82.68,68.33,77.64,Good
S1582,57.29,59.27,61.93,Poor
S1583,59.26,83.78,81.77,Good
S1584,60.22,53.94,92.69,Average
S1585,61.94,71.19,61.2,Average
S1586,61.33,54.29,75.39,Average
S1587,69.76,79.9,82.43,Good
S1588,82.69,51.36,78.23,Good
S1589,71.9,81.46,68.28,Good
S1590,88.8,83.66,82.11,Excellent
S1591,85.96,74.36,51.41,Good
S1592,56.33,58.75,68.5,Average
S1593,52.44,55.07,76.63,Average
S1594,93.9,65.66,51.03,Good
S1595,53.99,73.26,75.38,Average
S1596,57.42,82.11,82.71,Good
S1597,51.11,50.06,87.96,Average
S1598,81.42,85.55,55.67,Good
S1599,79.12,85.64,99.53,Excellent
S1600,99.35,72.23,80.31,Excellent
S1601,94.35,67.17,68.16,Good
S1602,70.54,92.12,62.45,Good
S1603,68.58,89.23,78.64,Good
S1604,64.84,99.16,94.09,Good
S1605,57.62,68.6,76.03,Average
S1606,56.9,95.34,83.07,Good
S1607,56.61,54.37,67.88,Poor
S1608,55.71,70.57,69.41,Average
S1609,62.03,73.27,64.31,Average
S1610,65.33,72.04,85.28,Good
S1611,98.08,81.25,67.96,Good
S1612,78.92,58.51,59.54,Average
S1613,99.38,93.32,68.47,Excellent
S1614,68.62,77.59,92.69,Good
S1615,72.88,95.21,86.91,Good
S1616,66.23,50.13,66.73,Average
S1617,59.14,81.5,95.34,Good
S1618,57.16,70.62,53.74,Average
S1619,97.25,75.25,52.49,Good
S1620,99.34,87.19,56.37,Good
S1621,52.25,61.36,55.82,Poor
S1622,57.52,60.24,54.39,Poor
S1623,71.18,85.15,83.07,Good
S1624,59.32,76.07,80.04,Good
S1625,68.19,61.68,82.38,Good
S1626,56.45,74.2,84.42,Good
S1627,72.83,72.98,87.84,Good
S1628,63.58,84.57,60.36,Average
S1629,67.6,50.13,81.12,Average
S1630,54.72,79.34,79.0,Average
S1631,71.41,80.28,97.18,Good
S1632,99.16,87.28,61.62,Good
S1633,66.44,94.46,52.94,Good
S1634,93.82,72.01,82.67,Good
S1635,92.16,67.13,87.01,Good
S1636,97.6,55.12,64.16,Good
S1637,89.51,66.84,78.54,Good
S1638,82.98,53.42,52.98,Average
S1639,92.83,90.14,98.0,Excellent
S1640,53.78,90.35,55.5,Average
S1641,73.14,70.86,53.38,Average
S1642,99.46,62.98,52.21,Good
S1643,88.48,55.9,71.36,Good
S1644,98.1,92.56,54.86,Good
S1645,88.98,93.87,87.23,Excellent
S1646,93.74,63.31,94.94,Good
S1647,85.33,81.09,63.01,Good
S1648,88.03,62.93,81.44,Good
S1649,76.16,61.26,52.12,Average
S1650,96.21,51.06,69.33,Good
S1651,91.25,78.86,64.65,Good
S1652,92.19,57.5,61.43,Good
S1653,83.65,50.62,82.24,Good
S1654,65.23,55.24,56.51,Poor
S1655,51.78,65.69,93.04,Average
S1656,96.78,83.46,83.24,Excellent
S1657,79.31,60.13,85.54,Good
S1658,64.91,94.38,96.77,Good
S1659,57.46,64.42,97.12,Good
S1660,91.48,66.56,77.58,Good
S1661,91.83,60.9,74.77,Good
S1662,90.73,62.69,66.77,Good
S1663,82.25,53.71,85.78,Good
S1664,68.3,64.74,76.91,Average
S1665,65.2,92.98,96.64,Good
S1666,50.43,84.42,61.93,Average
S1667,91.68,93.76,65.51,Good
S1668,54.37,55.24,65.8,Poor
S1669,81.54,72.78,90.3,Good
S1670,75.2,61.46,54.95,Average
S1671,76.33,86.06,72.78,Good
S1672,96.34,98.51,71.38,Excellent
S1673,51.58,90.77,53.66,Average
S1674,88.67,51.76,70.54,Good
S1675,52.6,65.83,75.67,Average
S1676,51.91,51.43,53.26,Poor
S1677,71.49,52.01,75.49,Average
S1678,53.15,53.98,97.96,Average
S1679,89.46,63.82,98.95,Good
S1680,76.48,65.21,76.58,Good
S1681,51.45,70.02,75.75,Average
S1682,52.03,70.25,64.28,Average
S1683,80.63,88.57,99.86,Excellent
S1684,90.31,57.07,63.71,Good
S1685,71.89,57.89,72.65,Average
S1686,77.73,81.33,50.15,Good
S1687,89.99,78.59,67.46,Good
S1688,80.53,57.7,53.57,Average
S1689,61.24,92.61,87.19,Good
S1690,80.65,66.45,78.05,Good
S1691,81.41,68.35,78.61,Good
S1692,86.71,71.02,64.33,Good
S1693,81.04,66.14,90.74,Good
S1694,98.46,77.87,50.16,Good
S1695,59.86,69.43,66.68,Average
S1696,97.55,62.97,82.97,Good
S1697,76.92,95.22,95.4,Excellent
S1698,83.6,65.42,61.73,Good
S1699,54.97,84.92,77.06,Good
S1700,69.03,67.36,76.9,Good
S1701,88.47,71.76,93.71,Excellent
S1702,85.35,61.8,52.53,Average
S1703,52.01,87.62,71.22,Average
S1704,77.33,86.86,59.12,Good
S1705,54.41,51.11,51.08,Poor
S1706,99.79,53.01,57.35,Good
S1707,94.86,96.12,98.82,Excellent
S1708,51.05,94.44,60.74,Average
S1709,92.93,75.3,96.75,Excellent
S1710,95.97,74.67,60.26,Good
S1711,67.68,90.62,96.56,Good
S1712,85.98,56.92,82.73,Good
S1713,72.11,82.68,55.66,Good
S1714,82.76,73.8,79.1,Good
S1715,67.02,87.17,65.93,Good
S1716,66.13,51.51,69.16,Average
S1717,71.22,79.64,72.01,Good
S1718,57.28,77.84,71.14,Average
S1719,91.56,92.04,83.21,Excellent
S1720,67.43,83.84,88.42,Good
S1721,70.01,94.01,66.46,Good
S1722,94.7,94.36,96.22,Excellent
